sepal.length,sepal.width,petal.length,petal.width,variety
5.6,2.9,3.6,1.3,Versicolor
5.6,3,4.1,1.3,Versicolor
5.6,3,4.5,1.5,Versicolor
5.7,2.5,5,2,Virginica
5.7,2.6,3.5,1,Versicolor
5.7,2.8,4.1,1.3,Versicolor
5.7,2.8,4.5,1.3,Versicolor
5.7,2.9,4.2,1.3,Versicolor
5.7,3,4.2,1.2,Versicolor
5.7,3.8,1.7,.3,Setosa
5.7,4.4,1.5,.4,Setosa
5.8,2.6,4,1.2,Versicolor
5.8,2.7,3.9,1.2,Versicolor
5.8,2.7,4.1,1,Versicolor
5.8,2.7,5.1,1.9,Virginica
5.8,2.8,5.1,2.4,Virginica
5.8,4,1.2,.2,Setosa
5.9,3,4.2,1.5,Versicolor
5.9,3,5.1,1.8,Virginica
5.9,3.2,4.8,1.8,Versicolor
6,2.2,4,1,Versicolor
6,2.2,5,1.5,Virginica
6,2.7,5.1,1.6,Versicolor
6,2.9,4.5,1.5,Versicolor
6,3,4.8,1.8,Virginica
